Image Number,Num_Vertices,Perimeter,Contour Area,ratio of perimeter and area,Circularity,Min_Angle_Change,Max_Angle_Change,Mean_Angle_Change,dim1 of tfb,dim2 of tfb,Ratio_Area_to_Bounding_Rect,Symmetry,gradient_magnitude
0233.jpg,147,1533.2375882863998,139866.5,0.010962150252465028,0.7476608770938357,90.0,135.0,133.46938775510205,447.04026664272646,336.0372003216311,0.9202530479580491,6.655270162902611,0.7068359375
0236.jpg,98,1547.8822498321533,143883.0,0.01075792310302227,0.7546464064662951,90.0,135.0,132.24489795918367,451.0,336.0,0.9445852262283029,6.552757599823086,0.74548828125
0238.jpg,455,1440.038665652275,97880.0,0.014712287143975022,0.5931376855550121,0.0,135.0,133.5164835164835,334.2932844075693,450.4009325034752,0.6444900969237253,7.846446851827373,0.6615407986111111
0239.jpg,419,1354.413338303566,95234.5,0.014221876928041477,0.6523816335658503,90.0,135.0,131.6706443914081,335.00597009605667,450.00444442249676,0.628461223735614,7.29881275669767,0.6435807291666666
0248.jpg,99,1573.2964633703232,80568.5,0.019527438929238142,0.4090289142456757,90.0,135.0,131.8181818181818,451.0,336.0,0.528928468265014,6.898224086823768,0.7505512152777778
0249.jpg,73,1555.4974738359451,144707.5,0.01074925262226177,0.7515576233051435,90.0,135.0,131.91780821917808,455.0890022841686,327.0749149659753,0.9499980305139045,7.0807854563248,0.7120421006944444
0251.jpg,406,1465.1513628959656,105956.0,0.013827922561213764,0.6202552256063036,90.0,135.0,133.44827586206895,448.2186966202994,331.1827290182868,0.6992133882377785,7.5600848699988275,0.6674761284722223
0252.jpg,60,1558.4264061450958,146255.0,0.010655542758504638,0.7567422632652848,45.00000000000001,135.0,132.0,451.0277153346566,332.02409551115414,0.9601572962894882,6.894914173053157,0.7460525173611111
0253.jpg,361,1470.5828220844269,81036.0,0.018147278025623513,0.4708785229551586,90.0,135.0,133.37950138504155,463.5353276720125,302.9488405655318,0.533177179627205,8.117230244409715,0.6793967013888889
0262.jpg,368,1486.4995616674423,119852.0,0.0124027931254167,0.6815937174222898,45.0,135.0,131.82065217391303,448.02790091689604,336.0238086802779,0.7868228250308553,7.326063864433613,0.6820030381944444
0264.jpg,164,1533.4213532209396,101656.0,0.015084415609712557,0.5432751842017214,90.0,135.0,132.2560975609756,335.01343256651666,452.0099556425721,0.6673669283894855,7.40260463647416,0.71638671875
0274.jpg,72,1554.911687374115,145170.0,0.010710971188083729,0.7545278684013043,45.0,135.0,132.5,448.0903926664797,327.0749149659753,0.9530343215776896,6.84437039106916,0.70671875
0275.jpg,39,1563.4558436870575,147875.0,0.010572820582837244,0.7602096558249778,90.0,135.0,131.53846153846155,452.0398212547209,331.03776219639957,0.9707925212048003,6.945842028492821,0.7021506076388889
0287.jpg,34,1565.213203072548,148764.5,0.010521416084297987,0.7630661098966364,90.0,135.0,129.7058823529412,452.0099556425721,333.00600595184466,0.9766320474777448,6.577872241872466,0.7058745659722222
0310.jpg,114,1512.1492742300034,142639.5,0.01060119584147451,0.7838994164193042,90.0,135.0,131.05263157894737,450.0,335.0,0.9364217063627531,6.892680155662222,0.7267361111111111
0315.jpg,267,1561.3036035299301,132819.0,0.011755122411175586,0.6846921456809307,90.0,135.0,132.13483146067415,449.040087297337,333.02402315748935,0.8738839506010383,7.137669877809944,0.7179709201388889
0318.jpg,490,1329.2417613267899,92318.5,0.01439843326447884,0.6565845345615505,90.0,135.0,133.71428571428572,336.590255355083,414.97228823139505,0.61057208994709,7.240859119526103,0.6497439236111111
0337.jpg,432,1563.4011467695236,88119.0,0.01774193019405036,0.4530421103758949,45.00000000000001,135.0,132.5,452.133829745132,316.8359196808342,0.5797798495923994,8.867327850841646,0.7232834201388889
0347.jpg,77,1554.3259009122849,145041.5,0.010716421857966753,0.7544283125662317,90.0,135.0,132.07792207792207,451.0,336.0,0.9521907250334812,6.7496988376133356,0.7518836805555555
0352.jpg,51,1562.7695519924164,147737.0,0.010578051212576513,0.7601674294087591,90.0,135.0,130.58823529411765,451.01773801038024,335.01343256651666,0.9698865576009034,6.604196189474115,0.7171657986111111
0358.jpg,49,1560.5269113779068,147435.5,0.01058447193096579,0.7607980766028206,90.0,135.0,132.24489795918367,451.0,336.0,0.9679072240749981,6.70176366345293,0.7216015625
0382.jpg,198,1514.7350618839264,138762.0,0.010916065362879796,0.7599885658962667,90.0,135.0,133.1818181818182,335.01343256651666,449.01781701843413,0.9129859790639989,6.669386919006533,0.6862847222222223
0396.jpg,55,1558.7695519924164,146979.0,0.010605389559001057,0.760153543483876,90.0,135.0,132.54545454545453,451.0,336.0,0.9649103227331215,6.617024335960229,0.7095290798611111
0403.jpg,124,1541.6812393665314,145051.0,0.010628546093212258,0.7669047297086661,90.0,135.0,133.5483870967742,335.00597009605667,452.00442475710344,0.9522530920931698,6.604291484476203,0.6942317708333333
0413.jpg,228,1513.4629839658737,136217.5,0.011110635446736827,0.747307192897049,45.00000000000001,135.0,133.02631578947367,451.0,336.0,0.8942615740132874,6.722864627134295,0.7503645833333333
0424.jpg,216,1529.8061298131943,135221.5,0.011313335008213889,0.7260772338887312,90.0,135.0,132.5,450.0,336.0,0.8896912235914913,6.994383637253923,0.7066254340277778
0429.jpg,112,1552.308655500412,139957.0,0.011091325589291082,0.7298747350777245,90.0,135.0,133.39285714285714,335.0,450.0,0.9188112181927995,7.978515229778266,0.6944097222222222
0433.jpg,536,1390.6732205152512,85151.5,0.016331752470775632,0.5532889327797812,45.00000000000001,135.0,133.99253731343285,282.7083302628347,521.1765535785354,0.5619225794530672,7.752794746830041,0.6389973958333334
0445.jpg,371,1461.7127643823624,117676.5,0.012421450029380228,0.6921106434938485,90.0,135.0,133.90835579514825,430.9106635951355,337.71733742880303,0.7742537190680782,7.360687067409655,0.67546875
0451.jpg,66,1556.6690467596054,145202.5,0.01072067661892602,0.752993761484409,90.0,135.0,133.63636363636363,456.13265614292516,326.0981447355995,0.953247682571361,7.11563197163663,0.7346875
0459.jpg,284,1486.475176692009,119767.0,0.012411391925087953,0.6811326725068708,90.0,135.0,134.3661971830986,451.00997771667977,333.0135132393279,0.7886048777918246,8.004217905568474,0.6566384548611112
0467.jpg,253,1506.6761870384216,123396.0,0.012210089363013562,0.6830792568172551,90.0,135.0,133.75494071146244,435.1057342761642,322.7506777684595,0.8100890207715133,7.479349295693169,0.6856922743055556
